DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
2063.459	 -0.0761
2067.316	 -0.0766
2071.173	 -0.0778
2075.030	 -0.0784
2078.887	 -0.0789
2082.744	 -0.0789
2086.601	 -0.0798
2090.458	 -0.0793
2094.315	 -0.0800
2098.172	 -0.0796
2102.029	 -0.0792
2105.886	 -0.0805
2109.743	 -0.0802
2113.600	 -0.0796
2117.457	 -0.0796
2121.313	 -0.0793
2125.170	 -0.0801
2129.027	 -0.0793
2132.884	 -0.0790
2136.741	 -0.0775
2140.598	 -0.0767
2144.455	 -0.0761
2148.312	 -0.0754
2152.169	 -0.0754
2156.026	 -0.0747
2159.883	 -0.0742
2163.740	 -0.0733
2167.597	 -0.0721
2171.454	 -0.0716
2175.311	 -0.0718
2179.167	 -0.0710
2183.024	 -0.0699
2186.881	 -0.0690
2190.738	 -0.0688
2194.595	 -0.0683
2198.452	 -0.0670
2202.309	 -0.0665
2206.166	 -0.0664
2210.023	 -0.0658
2213.880	 -0.0637
2217.737	 -0.0626
2221.594	 -0.0624
2225.451	 -0.0622
2229.308	 -0.0603
2233.165	 -0.0595
2237.021	 -0.0589
2240.878	 -0.0576
2244.735	 -0.0572
2248.592	 -0.0561
2252.449	 -0.0552
2256.306	 -0.0541
2260.163	 -0.0536
2264.020	 -0.0515
2267.877	 -0.0512
2271.734	 -0.0499
2275.591	 -0.0481
2279.448	 -0.0473
2283.305	 -0.0469
2287.162	 -0.0471
2291.019	 -0.0453
2294.875	 -0.0438
2298.732	 -0.0426
2302.589	 -0.0416
2306.446	 -0.0408
2310.303	 -0.0397
2314.160	 -0.0392
2318.017	 -0.0398
2321.874	 -0.0374
2325.731	 -0.0354
2329.588	 -0.0364
2333.445	 -0.0350
2337.302	 -0.0323
2341.159	 -0.0300
2345.016	 -0.0296
2348.873	 -0.0282
2352.729	 -0.0286
2356.586	 -0.0288
2360.443	 -0.0304
2364.300	 -0.0271
2368.157	 -0.0279
2372.014	 -0.0273
2375.871	 -0.0259
2379.728	 -0.0246
2383.585	 -0.0241
2387.442	 -0.0239
2391.299	 -0.0232
2395.156	 -0.0225
2399.013	 -0.0223
2402.870	 -0.0216
2406.727	 -0.0203
2410.583	 -0.0195
2414.440	 -0.0186
2418.297	 -0.0187
2422.154	 -0.0168
2426.011	 -0.0159
2429.868	 -0.0152
2433.725	 -0.0145
2437.582	 -0.0135
2441.439	 -0.0122
2445.296	 -0.0117
2449.153	 -0.0103
2453.010	 -0.0100
2456.867	 -0.0078
2460.724	 -0.0071
2464.581	 -0.0063
2468.437	 -0.0051
2472.294	 -0.0043
2476.151	 -0.0028
2480.008	 -0.0019
2483.865	 0.0001
2487.722	 0.0008
2491.579	 0.0021
2495.436	 0.0025
2499.293	 0.0032
2503.150	 0.0042
2507.007	 0.0053
2510.864	 0.0055
2514.721	 0.0068
2518.578	 0.0075
2522.435	 0.0084
2526.291	 0.0090
2530.148	 0.0107
2534.005	 0.0115
2537.862	 0.0121
2541.719	 0.0132
2545.576	 0.0138
2549.433	 0.0146
2553.290	 0.0153
2557.147	 0.0162
2561.004	 0.0174
2564.861	 0.0180
2568.718	 0.0190
2572.575	 0.0201
2576.432	 0.0208
2580.289	 0.0208
2584.145	 0.0215
2588.002	 0.0233
2591.859	 0.0242
2595.716	 0.0252
2599.573	 0.0261
2603.430	 0.0273
2607.287	 0.0284
2611.144	 0.0286
2615.001	 0.0300
2618.858	 0.0313
2622.715	 0.0324
2626.572	 0.0341
2630.429	 0.0349
2634.286	 0.0364
2638.143	 0.0385
2642.000	 0.0400
2645.856	 0.0408
2649.713	 0.0420
2653.570	 0.0446
2657.427	 0.0463
2661.284	 0.0479
2665.141	 0.0498
2668.998	 0.0518
2672.855	 0.0529
2676.712	 0.0544
2680.569	 0.0561
2684.426	 0.0569
2688.283	 0.0581
2692.140	 0.0593
2695.997	 0.0606
2699.854	 0.0614
2703.710	 0.0623
2707.567	 0.0632
2711.424	 0.0646
2715.281	 0.0645
2719.138	 0.0655
2722.995	 0.0671
2726.852	 0.0682
2730.709	 0.0691
2734.566	 0.0696
2738.423	 0.0705
2742.280	 0.0710
2746.137	 0.0723
2749.994	 0.0736
2753.851	 0.0743
2757.708	 0.0751
2761.564	 0.0771
2765.421	 0.0779
2769.278	 0.0791
2773.135	 0.0809
2776.992	 0.0830
2780.849	 0.0846
2784.706	 0.0870
2788.563	 0.0890
2792.420	 0.0906
2796.277	 0.0935
2800.134	 0.0963
2803.991	 0.0987
2807.848	 0.1016
2811.705	 0.1059
2815.562	 0.1111
2819.418	 0.1158
2823.275	 0.1213
2827.132	 0.1282
2830.989	 0.1391
2834.846	 0.1552
2838.703	 0.1812
2842.560	 0.2277
2846.417	 0.2947
2850.274	 0.3592
2854.131	 0.3843
2857.988	 0.3585
2861.845	 0.3144
2865.702	 0.2829
2869.559	 0.2688
2873.416	 0.2611
2877.272	 0.2542
2881.129	 0.2531
2884.986	 0.2582
2888.843	 0.2695
2892.700	 0.2835
2896.557	 0.3011
2900.414	 0.3210
2904.271	 0.3486
2908.128	 0.3866
2911.985	 0.4439
2915.842	 0.5170
2919.699	 0.5932
2923.556	 0.6342
2927.413	 0.6227
2931.270	 0.5675
2935.126	 0.4905
2938.983	 0.4167
2942.840	 0.3561
2946.697	 0.3152
2950.554	 0.2935
2954.411	 0.2785
2958.268	 0.2598
2962.125	 0.2316
2965.982	 0.1931
2969.839	 0.1542
2973.696	 0.1221
2977.553	 0.0909
2981.410	 0.0608
2985.267	 0.0421
2989.124	 0.0218
2992.980	 0.0040
2996.837	 -0.0060
TITLE=Spec_Abs_Ech 03
DATE=10-12-2006
OWNER=LabCognition
Fat=3.6
Pro=3.214
Lac=4.96
Ts=12.648
Snf=9.048
ImportedFrom=E:\kyoto\DataFormats\CalibrationData\CowMilkRange\Spec_Abs_Ech 03.txt
